Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions,Speed Limit at Crash Site,Imputed_Speed Limit at Crash Site,Worst Injury In Crash,Person Age,Imputed_Person Age,Person Gender,ADI Impute Column,Column 2
2018,6,1,9:00 AM - 10:00 AM,5,Wayne County: Detroit,1,0,2,1,25,25,1,50,50,0,[2018 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 1 50 1 0],[50]
2018,7,1,10:00 PM - 11:00 PM,7,Wayne County: Detroit,0,0,4,1,25,25,1,51,51,1,[2018 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 25 1 51 0 1],[51]
2018,7,1,10:00 PM - 11:00 PM,7,Wayne County: Detroit,0,0,4,1,25,25,1,,"42,755034665",1,"[2018 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 25 1 40.8288923318528 0
	 1]","[42,7550346649059]"
2018,8,1,6:00 PM - 7:00 PM,3,Wayne County: Belleville,1,0,2,1,25,25,1,36,36,1,[2018 8 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 1 36 0 1],[36]
2018,8,1,12:00 noon - 1:00 PM,3,Wayne County: Inkster,1,1,2,1,15,15,1,,"42,755034665",0,"[2018 8 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 15 1 44.1498108454184 1
	 0]","[42,7550346649059]"
2018,8,1,5:00 PM - 6:00 PM,3,Wayne County: Detroit,0,1,2,1,,"26,669864008",0,,"42,755034665",1,"[2018 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 26.6698640082902 0 42.0082151627784
	 0.410561735098696 0.594708775149181]","[42,7550346649059]"
2018,8,1,11:00 PM - 12:00 midnight,3,Wayne County: Detroit,0,1,4,1,,"33,103557846",4,,"42,755034665",1,"[2018 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 33.1035578460555 4 41.0116527636698
	 0.240341493368264 0.756147711987074]","[42,7550346649059]"
2018,9,1,8:00 PM - 9:00 PM,6,Wayne County: Detroit,1,1,4,1,35,35,2,,"42,755034665",1,"[2018 9 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 35 2 40.9992678376084 0.259915176099056
	 0.738458660502212]","[42,7550346649059]"
2018,10,1,7:00 AM - 8:00 AM,1,Wayne County: Livonia,1,0,2,3,25,25,2,17,17,0,[2018 10 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 25 2 17 1 0],[17]
2018,10,1,2:00 PM - 3:00 PM,1,Wayne County: Detroit,1,0,2,1,45,45,2,31,31,1,[2018 10 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 45 2 31 0 1],[31]
